#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-06-17;Espagne;244683;27136;150376;11.09;61.46;27.45
2020-06-17;Érythrée;131;0;39;0.00;29.77;70.23
2020-06-17;Sahara Occidental;9;1;8;11.11;88.89;0.00
2020-06-17;Égypte;49219;1850;13141;3.76;26.70;69.54
2020-06-17;Estonie;1977;69;1743;3.49;88.16;8.35
2020-06-17;Équateur;48490;4007;23881;8.26;49.25;42.49
2020-06-17;Algérie;11268;799;7943;7.09;70.49;22.42
2020-06-17;République Dominicaine;24105;633;14216;2.63;58.98;38.40
2020-06-17;Dominique;18;0;16;0.00;88.89;11.11
2020-06-17;Danemark;12307;598;11198;4.86;90.99;4.15
2020-06-17;Djibouti;4545;43;3411;0.95;75.05;24.00
2020-06-17;Allemagne;188604;8851;173599;4.69;92.04;3.26
2020-06-17;République Tchèque;10162;333;7399;3.28;72.81;23.91
2020-06-17;Chypre;985;18;816;1.83;82.84;15.33
2020-06-17;Cap-vert;792;7;377;0.88;47.60;51.52
2020-06-17;Cuba;2280;84;1999;3.68;87.68;8.64
2020-06-17;Costa Rica;1871;12;899;0.64;48.05;51.31
2020-06-17;Colombie;55083;1887;20400;3.43;37.04;59.54
2020-06-17;Chine;83293;4634;78394;5.56;94.12;0.32
2020-06-17;Cameroun;9864;276;5570;2.80;56.47;40.73
2020-06-17;Chili;220628;3615;181931;1.64;82.46;15.90
2020-06-17;Côte d'Ivoire;6063;48;2749;0.79;45.34;53.87
2020-06-17;Suisse;31187;1956;28900;6.27;92.67;1.06
2020-06-17;Congo (Brazzaville);883;27;391;3.06;44.28;52.66
2020-06-17;République Centrafricaine;2564;18;402;0.70;15.68;83.62
2020-06-17;Rép. Dém. du Congo;5100;115;640;2.25;12.55;85.20
2020-06-17;Canada;101491;8312;63280;8.19;62.35;29.46
2020-06-17;Belize;22;2;16;9.09;72.73;18.18
2020-06-17;Bélarus;56032;324;32735;0.58;58.42;41.00
2020-06-17;Botswana;79;1;25;1.27;31.65;67.09
2020-06-17;Bhoutan;67;0;24;0.00;35.82;64.18
2020-06-17;Bahamas;104;11;72;10.58;69.23;20.19
2020-06-17;Brésil;955377;46510;521046;4.87;54.54;40.59
2020-06-17;Bolivie;20685;679;4002;3.28;19.35;77.37
2020-06-17;Brunéi Darussalam;141;3;138;2.13;97.87;0.00
2020-06-17;Saint Barthélemy;6;0;6;0.00;100.00;0.00
2020-06-17;Bénin;572;9;237;1.57;41.43;56.99
2020-06-17;Burundi;104;1;75;0.96;72.12;26.92
2020-06-17;Bulgarie;3542;184;1880;5.19;53.08;41.73
2020-06-17;Bahreïn;19961;49;14185;0.25;71.06;28.69
2020-06-17;Burkina Faso;899;53;809;5.90;89.99;4.12
2020-06-17;Belgique;60244;9675;16684;16.06;27.69;56.25
2020-06-17;Bangladesh;98489;1305;38189;1.33;38.77;59.90
2020-06-17;Barbade;97;7;85;7.22;87.63;5.15
2020-06-17;Bosnie-Herzégovine;3141;168;2197;5.35;69.95;24.71
2020-06-17;Azerbaïdjan;10991;133;6075;1.21;55.27;43.52
2020-06-17;Australie;7391;102;6877;1.38;93.05;5.57
2020-06-17;Autriche;17203;687;16099;3.99;93.58;2.42
2020-06-17;Argentine;35552;913;10512;2.57;29.57;67.86
2020-06-17;Angola;155;7;64;4.52;41.29;54.19
2020-06-17;Arménie;18033;302;6814;1.67;37.79;60.54
2020-06-17;Albanie;1722;38;1077;2.21;62.54;35.25
2020-06-17;Antigua-et-Barbuda;26;3;22;11.54;84.62;3.85
2020-06-17;Afghanistan;26874;504;6158;1.88;22.91;75.21
2020-06-17;Émirats Arabes Unis;43364;295;29537;0.68;68.11;31.21
2020-06-17;Andorre;854;52;791;6.09;92.62;1.29
2020-06-16;Andorre;854;52;789;6.09;92.39;1.52
2020-06-16;Émirats Arabes Unis;42982;293;28861;0.68;67.15;32.17
2020-06-16;Afghanistan;26310;491;5508;1.87;20.94;77.20
2020-06-16;Antigua-et-Barbuda;26;3;22;11.54;84.62;3.85
2020-06-16;Albanie;1672;37;1064;2.21;63.64;34.15
2020-06-16;Arménie;17489;293;6571;1.68;37.57;60.75
2020-06-16;Angola;148;6;64;4.05;43.24;52.70
2020-06-16;Argentine;34159;878;10174;2.57;29.78;67.65
2020-06-16;Autriche;17189;681;16089;3.96;93.60;2.44
2020-06-16;Australie;7370;102;6861;1.38;93.09;5.52
2020-06-16;Azerbaïdjan;10662;126;5948;1.18;55.79;43.03
2020-06-16;Bosnie-Herzégovine;3085;168;2178;5.45;70.60;23.95
2020-06-16;Barbade;97;7;83;7.22;85.57;7.22
2020-06-16;Bangladesh;94481;1262;36264;1.34;38.38;60.28
2020-06-16;Belgique;60155;9663;16625;16.06;27.64;56.30
2020-06-16;Burkina Faso;895;53;807;5.92;90.17;3.91
2020-06-16;Bahreïn;19553;47;13866;0.24;70.91;28.84
2020-06-16;Bulgarie;3453;181;1817;5.24;52.62;42.14
2020-06-16;Burundi;104;1;75;0.96;72.12;26.92
2020-06-16;Bénin;532;9;236;1.69;44.36;53.95
2020-06-16;Saint Barthélemy;6;0;6;0.00;100.00;0.00
2020-06-16;Brunéi Darussalam;141;3;138;2.13;97.87;0.00
2020-06-16;Bolivie;19883;659;3752;3.31;18.87;77.82
2020-06-16;Brésil;923189;45241;490005;4.90;53.08;42.02
2020-06-16;Bahamas;104;11;72;10.58;69.23;20.19
2020-06-16;Bhoutan;67;0;24;0.00;35.82;64.18
2020-06-16;Botswana;60;1;24;1.67;40.00;58.33
2020-06-16;Bélarus;55369;318;31273;0.57;56.48;42.94
2020-06-16;Belize;22;2;16;9.09;72.73;18.18
2020-06-16;Canada;101087;8271;61899;8.18;61.23;30.58
2020-06-16;Rép. Dém. du Congo;4974;112;628;2.25;12.63;85.12
2020-06-16;République Centrafricaine;2410;14;396;0.58;16.43;82.99
2020-06-16;Congo (Brazzaville);883;27;391;3.06;44.28;52.66
2020-06-16;Suisse;31154;1954;28900;6.27;92.76;0.96
2020-06-16;Côte d'Ivoire;5679;46;2637;0.81;46.43;52.76
2020-06-16;Chili;184449;3383;156232;1.83;84.70;13.46
2020-06-16;Cameroun;9864;276;5570;2.80;56.47;40.73
2020-06-16;Chine;83265;4634;78379;5.57;94.13;0.30
2020-06-16;Colombie;53211;1808;19986;3.40;37.56;59.04
2020-06-16;Costa Rica;1796;12;794;0.67;44.21;55.12
2020-06-16;Cuba;2273;84;1994;3.70;87.73;8.58
2020-06-16;Cap-vert;781;7;354;0.90;45.33;53.78
2020-06-16;Chypre;985;18;816;1.83;82.84;15.33
2020-06-16;République Tchèque;10111;331;7358;3.27;72.77;23.95
2020-06-16;Allemagne;188252;8820;172842;4.69;91.81;3.50
2020-06-16;Djibouti;4539;43;3324;0.95;73.23;25.82
2020-06-16;Danemark;12263;598;11138;4.88;90.83;4.30
2020-06-16;Dominique;18;0;16;0.00;88.89;11.11
2020-06-16;République Dominicaine;23686;615;14133;2.60;59.67;37.74
2020-06-16;Algérie;11147;788;7842;7.07;70.35;22.58
2020-06-16;Équateur;47943;3970;23684;8.28;49.40;42.32
2020-06-16;Estonie;1975;69;1728;3.49;87.49;9.01
2020-06-16;Égypte;47856;1766;12730;3.69;26.60;69.71
2020-06-16;Sahara Occidental;9;1;8;11.11;88.89;0.00
2020-06-16;Érythrée;121;0;39;0.00;32.23;67.77
2020-06-16;Espagne;244328;27136;150376;11.11;61.55;27.35
2020-06-16;Éthiopie;3630;61;738;1.68;20.33;77.99
2020-06-16;Finlande;7112;326;6200;4.58;87.18;8.24
2020-06-16;Îles Féroé;187;0;187;0.00;100.00;0.00
2020-06-16;Fidji;18;0;18;0.00;100.00;0.00
2020-06-16;France;195617;29547;73335;15.10;37.49;47.41
2020-06-16;Gabon;4114;29;1432;0.70;34.81;64.49
2020-06-16;Royaume-Uni;299424;42054;1119;14.04;0.37;85.58
2020-06-16;Grenade;23;0;22;0.00;95.65;4.35
2020-06-16;Géorgie;879;14;724;1.59;82.37;16.04
2020-06-16;Guyane Française;1421;5;619;0.35;43.56;56.09
2020-06-16;Ghana;12193;58;4326;0.48;35.48;64.04
2020-06-16;Gibraltar;176;0;174;0.00;98.86;1.14
2020-06-16;Gambie;34;1;24;2.94;70.59;26.47
2020-06-16;Guinée;4639;26;3327;0.56;71.72;27.72
2020-06-16;Guadeloupe;171;14;157;8.19;91.81;0.00
2020-06-16;Guinée Équatoriale;1664;32;515;1.92;30.95;67.13
2020-06-16;Grèce;3148;185;1374;5.88;43.65;50.48
2020-06-16;Guatemala;10706;418;2096;3.90;19.58;76.52
2020-06-16;Guinée-Bissau;1492;15;153;1.01;10.25;88.74
2020-06-16;Guyana;171;12;99;7.02;57.89;35.09
2020-06-16;Hong-Kong;1112;4;1069;0.36;96.13;3.51
2020-06-16;Honduras;9656;330;1075;3.42;11.13;85.45
2020-06-16;Croatie;2255;107;2140;4.75;94.90;0.35
2020-06-16;Haïti;4547;80;24;1.76;0.53;97.71
